	params	train_accuracy	train_sensitivity	train_specificity	train_mcc	validation_accuracy	validation_sensitivity	validation_specificity	validation_mcc
10686	{'max_depth': 8, 'eta': 0.1, 'gamma': 0.01, 'subsample': 0.8, 'lambda': 100, 'colsample_bytree': 0.8, 'scale_pos_weight': 1.4415584415584415, 'seed': 1618, 'nthread': 4, 'objective': 'binary:logistic'}	0.7446808510638298	0.7922077922077922	0.7117117117117117	0.49563816778490033	0.525	0.5714285714285714	0.5	0.06822384756298847
8014	{'max_depth': 6, 'eta': 0.3, 'gamma': 0, 'subsample': 0.2, 'lambda': 1, 'colsample_bytree': 0.8, 'scale_pos_weight': 1.4415584415584415, 'seed': 1618, 'nthread': 4, 'objective': 'binary:logistic'}	0.776595744680851	0.7792207792207793	0.7747747747747747	0.5473751234537497	0.525	0.5714285714285714	0.5	0.06822384756298847
4214	{'max_depth': 3, 'eta': 0.1, 'gamma': 0.01, 'subsample': 0.4, 'lambda': 10, 'colsample_bytree': 0.8, 'scale_pos_weight': 1.4415584415584415, 'seed': 1618, 'nthread': 4, 'objective': 'binary:logistic'}	0.7074468085106383	0.7402597402597403	0.6846846846846847	0.4180319323805622	0.525	0.5714285714285714	0.5	0.06822384756298847
4116	{'max_depth': 3, 'eta': 0.1, 'gamma': 0, 'subsample': 0.8, 'lambda': 10, 'colsample_bytree': 0.6, 'scale_pos_weight': 1.4415584415584415, 'seed': 1618, 'nthread': 4, 'objective': 'binary:logistic'}	0.824468085106383	0.8311688311688312	0.8198198198198198	0.6439082013459908	0.525	0.5714285714285714	0.5	0.06822384756298847
6676	{'max_depth': 6, 'eta': 0.01, 'gamma': 0.01, 'subsample': 0.8, 'lambda': 10, 'colsample_bytree': 0.6, 'scale_pos_weight': 1.4415584415584415, 'seed': 1618, 'nthread': 4, 'objective': 'binary:logistic'}	0.8563829787234043	0.8831168831168831	0.8378378378378378	0.7116484872260082	0.525	0.5714285714285714	0.5	0.06822384756298847
11214	{'max_depth': 8, 'eta': 0.3, 'gamma': 0, 'subsample': 0.2, 'lambda': 1, 'colsample_bytree': 0.8, 'scale_pos_weight': 1.4415584415584415, 'seed': 1618, 'nthread': 4, 'objective': 'binary:logistic'}	0.776595744680851	0.7792207792207793	0.7747747747747747	0.5473751234537497	0.525	0.5714285714285714	0.5	0.06822384756298847
5430	{'max_depth': 3, 'eta': 0.3, 'gamma': 1, 'subsample': 1, 'lambda': 10, 'colsample_bytree': 0.8, 'scale_pos_weight': 1.4415584415584415, 'seed': 1618, 'nthread': 4, 'objective': 'binary:logistic'}	0.8031914893617021	0.8571428571428571	0.7657657657657657	0.612775883258291	0.525	0.5714285714285714	0.5	0.06822384756298847
8374	{'max_depth': 6, 'eta': 0.3, 'gamma': 0.1, 'subsample': 0.4, 'lambda': 10, 'colsample_bytree': 0.8, 'scale_pos_weight': 1.4415584415584415, 'seed': 1618, 'nthread': 4, 'objective': 'binary:logistic'}	0.7659574468085106	0.7792207792207793	0.7567567567567568	0.5286072637369045	0.525	0.5714285714285714	0.5	0.06822384756298847
6926	{'max_depth': 6, 'eta': 0.01, 'gamma': 1, 'subsample': 0.4, 'lambda': 1, 'colsample_bytree': 0.8, 'scale_pos_weight': 1.4415584415584415, 'seed': 1618, 'nthread': 4, 'objective': 'binary:logistic'}	0.8191489361702128	0.7402597402597403	0.8738738738738738	0.6229420038570335	0.525	0.5714285714285714	0.5	0.06822384756298847
4159	{'max_depth': 3, 'eta': 0.1, 'gamma': 0, 'subsample': 1, 'lambda': 100, 'colsample_bytree': 0.8, 'scale_pos_weight': 1.200649175054246, 'seed': 1618, 'nthread': 4, 'objective': 'binary:logistic'}	0.7712765957446809	0.8051948051948052	0.7477477477477478	0.5443178452798328	0.525	0.5714285714285714	0.5	0.06822384756298847
5119	{'max_depth': 3, 'eta': 0.3, 'gamma': 0.01, 'subsample': 1, 'lambda': 100, 'colsample_bytree': 0.8, 'scale_pos_weight': 1.200649175054246, 'seed': 1618, 'nthread': 4, 'objective': 'binary:logistic'}	0.7659574468085106	0.8181818181818182	0.7297297297297297	0.5389072532474317	0.525	0.5714285714285714	0.5	0.06822384756298847
4284	{'max_depth': 3, 'eta': 0.1, 'gamma': 0.01, 'subsample': 0.8, 'lambda': 100, 'colsample_bytree': 0.6, 'scale_pos_weight': 1.4415584415584415, 'seed': 1618, 'nthread': 4, 'objective': 'binary:logistic'}	0.75	0.8181818181818182	0.7027027027027027	0.5124113884796979	0.525	0.5714285714285714	0.5	0.06822384756298847
4054	{'max_depth': 3, 'eta': 0.1, 'gamma': 0, 'subsample': 0.4, 'lambda': 10, 'colsample_bytree': 0.8, 'scale_pos_weight': 1.4415584415584415, 'seed': 1618, 'nthread': 4, 'objective': 'binary:logistic'}	0.7074468085106383	0.7402597402597403	0.6846846846846847	0.4180319323805622	0.525	0.5714285714285714	0.5	0.06822384756298847
7484	{'max_depth': 6, 'eta': 0.1, 'gamma': 0.01, 'subsample': 0.8, 'lambda': 100, 'colsample_bytree': 0.6, 'scale_pos_weight': 1.4415584415584415, 'seed': 1618, 'nthread': 4, 'objective': 'binary:logistic'}	0.7446808510638298	0.8181818181818182	0.6936936936936937	0.5036915232683266	0.525	0.5714285714285714	0.5	0.06822384756298847
7486	{'max_depth': 6, 'eta': 0.1, 'gamma': 0.01, 'subsample': 0.8, 'lambda': 100, 'colsample_bytree': 0.8, 'scale_pos_weight': 1.4415584415584415, 'seed': 1618, 'nthread': 4, 'objective': 'binary:logistic'}	0.7446808510638298	0.7922077922077922	0.7117117117117117	0.49563816778490033	0.525	0.5714285714285714	0.5	0.06822384756298847
10375	{'max_depth': 8, 'eta': 0.01, 'gamma': 10, 'subsample': 1, 'lambda': 0.1, 'colsample_bytree': 0.8, 'scale_pos_weight': 1.200649175054246, 'seed': 1618, 'nthread': 4, 'objective': 'binary:logistic'}	0.7553191489361702	0.8311688311688312	0.7027027027027027	0.5253358675824855	0.525	0.5714285714285714	0.5	0.06822384756298847
4286	{'max_depth': 3, 'eta': 0.1, 'gamma': 0.01, 'subsample': 0.8, 'lambda': 100, 'colsample_bytree': 0.8, 'scale_pos_weight': 1.4415584415584415, 'seed': 1618, 'nthread': 4, 'objective': 'binary:logistic'}	0.7340425531914894	0.7922077922077922	0.6936936936936937	0.47791625512205504	0.525	0.5714285714285714	0.5	0.06822384756298847
10844	{'max_depth': 8, 'eta': 0.1, 'gamma': 0.1, 'subsample': 0.8, 'lambda': 100, 'colsample_bytree': 0.6, 'scale_pos_weight': 1.4415584415584415, 'seed': 1618, 'nthread': 4, 'objective': 'binary:logistic'}	0.75	0.8311688311688312	0.6936936936936937	0.5166758048932141	0.525	0.5714285714285714	0.5	0.06822384756298847
7324	{'max_depth': 6, 'eta': 0.1, 'gamma': 0, 'subsample': 0.8, 'lambda': 100, 'colsample_bytree': 0.6, 'scale_pos_weight': 1.4415584415584415, 'seed': 1618, 'nthread': 4, 'objective': 'binary:logistic'}	0.7446808510638298	0.8181818181818182	0.6936936936936937	0.5036915232683266	0.525	0.5714285714285714	0.5	0.06822384756298847
5126	{'max_depth': 3, 'eta': 0.3, 'gamma': 0.1, 'subsample': 0.2, 'lambda': 0.1, 'colsample_bytree': 0.8, 'scale_pos_weight': 1.4415584415584415, 'seed': 1618, 'nthread': 4, 'objective': 'binary:logistic'}	0.7819148936170213	0.8181818181818182	0.7567567567567568	0.5659707769160174	0.525	0.5714285714285714	0.5	0.06822384756298847
8144	{'max_depth': 6, 'eta': 0.3, 'gamma': 0, 'subsample': 1, 'lambda': 10, 'colsample_bytree': 0.2, 'scale_pos_weight': 1.4415584415584415, 'seed': 1618, 'nthread': 4, 'objective': 'binary:logistic'}	0.824468085106383	0.8181818181818182	0.8288288288288288	0.6415912323874143	0.525	0.5714285714285714	0.5	0.06822384756298847
