	params	train_accuracy	train_sensitivity	train_specificity	train_mcc	validation_accuracy	validation_sensitivity	validation_specificity	validation_mcc
8	{'C': 0.001, 'kernel': 'rbf', 'gamma': 0.05, 'random_state': 1618}	0.5904255319148937	0.0	1.0		0.65	0.0	1.0	
9	{'C': 0.001, 'kernel': 'rbf', 'gamma': 0.1, 'random_state': 1618}	0.5904255319148937	0.0	1.0		0.65	0.0	1.0	
10	{'C': 0.001, 'kernel': 'rbf', 'gamma': 0.2, 'random_state': 1618}	0.5904255319148937	0.0	1.0		0.65	0.0	1.0	
11	{'C': 0.001, 'kernel': 'rbf', 'gamma': 0.3, 'random_state': 1618}	0.5904255319148937	0.0	1.0		0.65	0.0	1.0	
12	{'C': 0.001, 'kernel': 'rbf', 'gamma': 0.4, 'random_state': 1618}	0.5904255319148937	0.0	1.0		0.65	0.0	1.0	
13	{'C': 0.001, 'kernel': 'rbf', 'gamma': 0.5, 'random_state': 1618}	0.5904255319148937	0.0	1.0		0.65	0.0	1.0	
14	{'C': 0.001, 'kernel': 'rbf', 'gamma': 0.8, 'random_state': 1618}	0.5904255319148937	0.0	1.0		0.65	0.0	1.0	
15	{'C': 0.01, 'kernel': 'rbf', 'gamma': 'auto', 'random_state': 1618}	0.5904255319148937	0.0	1.0		0.65	0.0	1.0	
16	{'C': 0.01, 'kernel': 'rbf', 'gamma': 0.01, 'random_state': 1618}	0.5904255319148937	0.0	1.0		0.65	0.0	1.0	
17	{'C': 0.01, 'kernel': 'rbf', 'gamma': 0.05, 'random_state': 1618}	0.5904255319148937	0.0	1.0		0.65	0.0	1.0	
18	{'C': 0.01, 'kernel': 'rbf', 'gamma': 0.1, 'random_state': 1618}	0.5904255319148937	0.0	1.0		0.65	0.0	1.0	
19	{'C': 0.01, 'kernel': 'rbf', 'gamma': 0.2, 'random_state': 1618}	0.5904255319148937	0.0	1.0		0.65	0.0	1.0	
20	{'C': 0.01, 'kernel': 'rbf', 'gamma': 0.3, 'random_state': 1618}	0.5904255319148937	0.0	1.0		0.65	0.0	1.0	
21	{'C': 0.01, 'kernel': 'rbf', 'gamma': 0.4, 'random_state': 1618}	0.5904255319148937	0.0	1.0		0.65	0.0	1.0	
22	{'C': 0.01, 'kernel': 'rbf', 'gamma': 0.5, 'random_state': 1618}	0.5904255319148937	0.0	1.0		0.65	0.0	1.0	
23	{'C': 0.01, 'kernel': 'rbf', 'gamma': 0.8, 'random_state': 1618}	0.5904255319148937	0.0	1.0		0.65	0.0	1.0	
24	{'C': 0.1, 'kernel': 'rbf', 'gamma': 'auto', 'random_state': 1618}	0.5904255319148937	0.0	1.0		0.65	0.0	1.0	
25	{'C': 0.1, 'kernel': 'rbf', 'gamma': 0.01, 'random_state': 1618}	0.5904255319148937	0.0	1.0		0.65	0.0	1.0	
26	{'C': 0.1, 'kernel': 'rbf', 'gamma': 0.05, 'random_state': 1618}	0.5904255319148937	0.0	1.0		0.65	0.0	1.0	
27	{'C': 0.1, 'kernel': 'rbf', 'gamma': 0.1, 'random_state': 1618}	0.5904255319148937	0.0	1.0		0.65	0.0	1.0	
28	{'C': 0.1, 'kernel': 'rbf', 'gamma': 0.2, 'random_state': 1618}	0.5904255319148937	0.0	1.0		0.65	0.0	1.0	
29	{'C': 0.1, 'kernel': 'rbf', 'gamma': 0.3, 'random_state': 1618}	0.5904255319148937	0.0	1.0		0.65	0.0	1.0	
30	{'C': 0.1, 'kernel': 'rbf', 'gamma': 0.4, 'random_state': 1618}	0.5904255319148937	0.0	1.0		0.65	0.0	1.0	
31	{'C': 0.1, 'kernel': 'rbf', 'gamma': 0.5, 'random_state': 1618}	0.5904255319148937	0.0	1.0		0.65	0.0	1.0	
32	{'C': 0.1, 'kernel': 'rbf', 'gamma': 0.8, 'random_state': 1618}	0.5904255319148937	0.0	1.0		0.65	0.0	1.0	
